"","IND_SSKIN","IND_FAT","IND_BRAIN","IND_CO","IND_KIDNEY","IND_GONAD","IND_LIVER","IND_HCT","IND_HEART","IND_MUSCLE","IND_INTESTINE","IND_STOMACH","IND_LUNG","IND_VSKIN","IND_MARR","IND_PANCREAS","IND_SPLEEN","Result_Hair","Result_Liver","Result_Brain","Result_Kidney","Result_Urine","Final_urine","Final"
"590","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707893593247352,0.695740203950215,0.88443862830006,0.937414845294939,116.131765905118,23.8714506351821,0.806371817698142
"591","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707520605748691,0.695887260917467,0.884291709404849,0.937181517195147,116.115185045424,23.868013227738,0.806220273316538
"592","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707438884404312,0.695953860704609,0.884906469309171,0.937139566912562,116.145583262973,23.8742044088608,0.806359695332664
"593","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707897007459252,0.695753196953715,0.884413860903491,0.937407808054696,116.131057751105,23.8713059248953,0.806367968342789
"594","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707524022686048,0.695900253979008,0.884266939253277,0.937174482150967,116.114477185548,23.8678685767235,0.806216424517325
"595","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Haddad et al. (2001)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.707727294765362,0.695887816924106,0.885564607338765,0.937295443829572,116.1390191658,23.8730988657316,0.806618790714451
"596","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Haddad et al. (2001)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.708161385436692,0.695692231886021,0.885066856707292,0.937557914659222,116.124460501431,23.870187778024,0.806619597172307
"597","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Haddad et al. (2001)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.707805276746736,0.695832208316785,0.884935797816298,0.937329280754499,116.108339618077,23.8668484363423,0.80647564090858
"598","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Haddad et al. (2001)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.70772744457092,0.695889502751498,0.885566308140065,0.93729487188613,116.138998946567,23.8730954147831,0.806619531837153
"599","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Haddad et al. (2001)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.70816153379925,0.695693918467893,0.885068566698646,0.937557345909192,116.124440340117,23.8701843409983,0.806620341218745
"600","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Haddad et al. (2001)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.707805425253671,0.695833894930575,0.884937505834183,0.937328710205311,116.108319427557,23.8668449927561,0.806476384055935
"601","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Haddad et al. (2001)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.707730866679287,0.695902537655145,0.885541295683584,0.937287809147307,116.138290512743,23.8729506043816,0.806615627291331
"602","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Haddad et al. (2001)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.708164952486594,0.695706958638607,0.885043578637866,0.937550282610383,116.123732045832,23.8700395636412,0.806616443093362
"603","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Haddad et al. (2001)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.707808846721421,0.69584693447856,0.884912515349556,0.93732164924536,116.107611434039,23.8667002759667,0.806472486448724
"604","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Haddad et al. (2001)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.707727011436378,0.695886051549975,0.885553976337292,0.937294648501923,116.139287248257,23.8731497872165,0.806615421956392
"605","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Haddad et al. (2001)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.708161478153491,0.695690545444234,0.88505649869591,0.937557059727854,116.124707233862,23.8702345631767,0.806616395505372
"606","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Haddad et al. (2001)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.707805141782942,0.695830509908498,0.884925291228829,0.9373284445633,116.108595242587,23.866896926014,0.806472346870892
"607","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Haddad et al. (2001)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.707727161259587,0.695887737546379,0.885555676770157,0.937294076535694,116.139267028252,23.8731463360727,0.806616163027954
"608","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Haddad et al. (2001)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.708161626531078,0.695692232195489,0.885058208316741,0.937556490957269,116.124687071809,23.870231125962,0.806617139500144
"609","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Haddad et al. (2001)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.70780529030553,0.695832196690269,0.884926998879982,0.937327873992808,116.108575051346,23.8668934822428,0.806473089967147
"610","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Haddad et al. (2001)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.707730583356127,0.695900773251244,0.88553066235058,0.937287013568942,116.138558594245,23.8730015253543,0.806612258131723
"611","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Haddad et al. (2001)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.708165045200611,0.695705273165186,0.885033218287607,0.937549427433052,116.123978777796,23.8700863483765,0.806613241021614
"612","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Haddad et al. (2001)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.707808711759438,0.695845237037329,0.88490200642907,0.937320812809114,116.107867057905,23.866748765188,0.806469192008738
"613","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.707717016402193,0.69588977951198,0.885552861694333,0.937288953669701,116.13931057797,23.8731518378495,0.806612152819552
"614","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.708151702372783,0.695694066551037,0.885055311255971,0.937551563824794,116.124756926254,23.8702419140517,0.806613161001146
"615","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.707795214137683,0.695834211154256,0.884923837773318,0.937322809318641,116.10862206385,23.8668996272468,0.806469018095974
"616","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.707717166195603,0.695891465083526,0.885554561607086,0.937288381791263,116.139290358014,23.8731483865383,0.806612893669369
"617","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.708151850721709,0.695695752880973,0.885057020309413,0.937550995135285,116.124736764191,23.8702384766477,0.806613904761845
"618","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.707795362631941,0.695835897514814,0.884925544898085,0.93732223883321,116.108601872627,23.8668961833009,0.806469760969512
"619","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.707720588144447,0.695904498193527,0.885529554237479,0.937281319802296,116.138581926658,23.8730035774071,0.806608990094437
"620","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.70815526925299,0.69570879124819,0.885032037276522,0.937543932586408,116.124028472412,23.8700937005553,0.806610007591028
"621","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.707798783941651,0.695848935277306,0.884900559435807,0.937315178621086,116.107893881337,23.8667514677226,0.806465864318963
"622","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.70771674327834,0.695888015296559,0.885542237439435,0.937288157315808,116.139578344107,23.8732026994875,0.806608788332535
"623","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.708151805079645,0.695692381156087,0.885044959170928,0.93755070796629,116.125003354729,23.8702886416203,0.806609963343238
"624","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.707795089192939,0.695832513830897,0.884913337441625,0.937321972154404,116.108877383514,23.8669480592268,0.806465728154967
"625","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.707716893089427,0.695889701037735,0.885543936977929,0.937287585414495,116.139558123403,23.8731992479845,0.806609529129896
"626","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.708151953443686,0.695694067655674,0.885046667848718,0.937550139256413,116.124983192007,23.8702852040422,0.806610707051123
"627","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.707795237702776,0.695834200359889,0.88491504419848,0.937321401647931,116.108857191625,23.8669446151069,0.806466470977269
"628","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.707720315026348,0.695902734949556,0.885518927639761,0.937280523199602,116.138849691752,23.8730544385135,0.806605625203817
"629","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.708155371957182,0.695707106822246,0.88502168284718,0.937543076482349,116.12427490046,23.8701404277137,0.806606809527239
"630","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.70779865899871,0.69584723892201,0.884890056764992,0.937314341210744,116.108149200478,23.866799899275,0.806462573974114
"631","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2014)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.70767739565328,0.695897232102334,0.885506832884781,0.937269174139928,116.140364653868,23.8733430577298,0.806587658695081
"632","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2014)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.708113515927133,0.695701027455123,0.885009799940489,0.937532360831269,116.125861514681,23.870443643767,0.806589176038503
"633","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2014)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.707756058013058,0.695841777958127,0.884877176345088,0.937303195790581,116.109651778979,23.8670859974171,0.806444552026713
"634","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2014)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.707677544536872,0.695898922790095,0.885508559379531,0.937268602459075,116.140344408973,23.8733396076277,0.806588407291393
"635","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2014)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.708113663421392,0.695702718907514,0.885011535743462,0.937531792383613,116.125841330326,23.8704402081565,0.806589927613995
"636","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2014)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.707756205617861,0.695843469455862,0.884878910120126,0.937302625520707,116.109631562819,23.8670825547067,0.806445302678639
"637","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2014)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.707680969758069,0.695911997780004,0.885483483780368,0.937261532174138,116.139636028437,23.8731948023859,0.806584495873145
"638","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2014)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.70811708507041,0.695715799145296,0.884986484689213,0.937524721493674,116.125133085014,23.8702954350826,0.806586022599649
"639","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2014)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.707759630185895,0.695856549143557,0.884853856766489,0.937295557026107,116.108923625732,23.8669378437708,0.806441398280512
"640","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2014)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.707677148467519,0.695895471183266,0.885496225988921,0.937268373405812,116.140631285239,23.873393700857,0.80658430476138
"641","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2014)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Pearce et al. (2017)",0.708113643618379,0.69569934500031,0.884999462443249,0.937531500969768,116.126106863257,23.8704901630578,0.806585988007927
